URL,Priority,Direction,Start Port,End Port,Global,Regular Expression,Override Zero Trust Policy,Note
taltonwalker.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
slumbo.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
potomacriversafetycommittee.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
roedernallee.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
daev.ca,0,2,0,0,1,0,0,Afraid.org 6/23/2026
pegle.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
priamaakcia.sk,0,2,0,0,1,0,0,Afraid.org 6/23/2026
hacknperl.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
thealcohall.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
falcongreenenergy.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
happypc.ca,0,2,0,0,1,0,0,Afraid.org 6/23/2026
masiukiewicz.pl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
thanatos.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
peeinthesnow.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
galipan.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
estradatech.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
hondascooterparts.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
smakar.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
sexmistrz.pl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
theonlycompany.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
24-7.ro,0,2,0,0,1,0,0,Afraid.org 6/23/2026
siasolution.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
hs.vc,0,2,0,0,1,0,0,Afraid.org 6/23/2026
iseasy.tw,0,2,0,0,1,0,0,Afraid.org 6/23/2026
drnathhome.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
poormanscow.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
derekcturner.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
barrabarra.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
volphied.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
thealsups.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
humorvisite.eu,0,2,0,0,1,0,0,Afraid.org 6/23/2026
alsupnet.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
randyalsup.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
livewave.ru,0,2,0,0,1,0,0,Afraid.org 6/23/2026
edrennikov.ru,0,2,0,0,1,0,0,Afraid.org 6/23/2026
mambodev.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
kaohsiung.tv,0,2,0,0,1,0,0,Afraid.org 6/23/2026
davisempresas.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
tombu.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
gruppuso.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
malvazija.si,0,2,0,0,1,0,0,Afraid.org 6/23/2026
chrismac.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
factorsolar.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
reasonman.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
beatles.is,0,2,0,0,1,0,0,Afraid.org 6/23/2026
earlyriserscoffeeshop.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
am-brillantengrund.at,0,2,0,0,1,0,0,Afraid.org 6/23/2026
patagonyka.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
djarvi.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
gurdit.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
andavi.se,0,2,0,0,1,0,0,Afraid.org 6/23/2026
malam.or.id,0,2,0,0,1,0,0,Afraid.org 6/23/2026
okoloko.one.pl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
dleon.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
baez.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ghostnation.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
chocolatespicacho.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
elliotshoe.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
moldeo.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
usrsrc.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
kabindrakajibajracharya.com.np,0,2,0,0,1,0,0,Afraid.org 6/23/2026
momentos.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
hari.web.id,0,2,0,0,1,0,0,Afraid.org 6/23/2026
nowhearthis.co.uk,0,2,0,0,1,0,0,Afraid.org 6/23/2026
westbys.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
host2go.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
energysemi.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
mathewparkin.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
daniellaporter.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
peakconsulting.com.au,0,2,0,0,1,0,0,Afraid.org 6/23/2026
orienta.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
insilico.at,0,2,0,0,1,0,0,Afraid.org 6/23/2026
networkoutpost.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
hmail.us,0,2,0,0,1,0,0,Afraid.org 6/23/2026
saucedchicago.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
monopolecorp.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
lipizzan-register.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
macrofox.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
lipizzanregistry.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
monopolepower.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ptchat.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
abduch.adv.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
xn--hgnestrand-q5a.se,0,2,0,0,1,0,0,Afraid.org 6/23/2026
giswebservice.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
lczipper.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
tawktawk.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
dmtr.ru,0,2,0,0,1,0,0,Afraid.org 6/23/2026
vampi.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bizis.si,0,2,0,0,1,0,0,Afraid.org 6/23/2026
picinel.ro,0,2,0,0,1,0,0,Afraid.org 6/23/2026
compy.ca,0,2,0,0,1,0,0,Afraid.org 6/23/2026
goodworth.id.au,0,2,0,0,1,0,0,Afraid.org 6/23/2026
jamesangel.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
nokedli.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
fuckwikia.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
dallapria.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
epsilontravel.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
drkbit.ro,0,2,0,0,1,0,0,Afraid.org 6/23/2026
monkeywerks.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ttkacz.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
strongson.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
noamank.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
imatic.gr,0,2,0,0,1,0,0,Afraid.org 6/23/2026
dream.org.il,0,2,0,0,1,0,0,Afraid.org 6/23/2026
hansa-tmp.cn,0,2,0,0,1,0,0,Afraid.org 6/23/2026
medbury.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
hotel-am-brillantengrund.at,0,2,0,0,1,0,0,Afraid.org 6/23/2026
mollo.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
anteroblue.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bnene.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
palvelin.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
scientol.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
estudiomarbal.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
swissimpressions.ch,0,2,0,0,1,0,0,Afraid.org 6/23/2026
pixelfucker.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
incorpnow.cn,0,2,0,0,1,0,0,Afraid.org 6/23/2026
sourcingsa.co.za,0,2,0,0,1,0,0,Afraid.org 6/23/2026
sino.tw,0,2,0,0,1,0,0,Afraid.org 6/23/2026
opazo.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
espinosa.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
gazmuri.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
aarogyamnepal.org.np,0,2,0,0,1,0,0,Afraid.org 6/23/2026
forss.to,0,2,0,0,1,0,0,Afraid.org 6/23/2026
erotikload.at,0,2,0,0,1,0,0,Afraid.org 6/23/2026
arybarbosa.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
danielaabrantes.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
tantrym.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
forenza.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
